,Name,A-M-B Angle,M-A Distance,M-B Distance,Metal_NBO,A_NBO,B_NBO,HOMO_LUMO,A-B_NBO,MA_MB_Difference,GFE_etcoord-nocoord,Total_VBur,SW_VBur,NW_VBur,NE_VBur,SE_VBur,N_AVG,S_AVG,Phenylene_backbone,Pd-O Distance,Alkoxy,Charge,Percent_Filled_x,Percent_Filled_y,Nonalt,Weighted %Filled
0,n-n-1,77,2.1899370153173354,2.0699492710668057,0.45674,-0.44516,-0.39852,0.13318,-0.04664,0.1199877442505297,4.929470575019614,38.7,34.2,34.7,51.9,34.2,43.3,34.2,1,0.0,0,1,26.376440460947503,36.54929577464789,0.0,0.8194418058786593
1,n-n-2,77,2.1703263732549534,2.0721118980537705,0.49421,-0.41997,-0.3975,0.13923,-0.0224699999999999,0.0982144752011828,2.2951879247920814,36.2,34.4,34.1,35.3,40.8,34.7,37.6,1,4.41,1,1,26.376440460947503,38.66197183098591,0.0,0.6602562774330157
2,n-n-3,77,2.17737368702274,2.074869566423875,0.49349,-0.4217,-0.39797,0.15312,-0.02373,0.1025041205988648,2.1750605800050593,35.8,33.9,34.7,33.6,41.2,34.15,37.55,1,0.0,0,1,26.248399487836107,37.25352112676056,0.0,0.6580782621212241
3,n-n-4,77,2.166085787702094,2.0744752014109498,0.48133,-0.43169,-0.39668,0.14574,-0.03501,0.0916105862911442,3.684692549954285,43.6,34.4,34.0,51.9,53.9,42.95,44.15,1,0.0,0,1,28.425096030729833,34.859154929577464,0.0,1.0121026916636051
4,n-n-5,79,2.181435402661743,2.08130218142633,0.4933,-0.4337,-0.40167,0.16768,-0.0320299999999999,0.1001332212354131,3.8534034549445195,32.9,34.3,33.9,31.8,31.7,32.85,33.0,1,0.0,0,1,22.535211267605632,26.760563380281692,0.0,0.4023972650393309
5,p-p-1,85,2.4216508776398795,2.26983736191825,0.0298,1.05375,1.24044,0.17512,-0.18669,0.1518135157216296,11.312024075013447,49.9,56.8,48.3,53.3,41.4,50.8,49.1,0,0.0,0,1,21.51088348271447,35.63380281690141,0.0,1.037947814818969
6,p-p-2,90,2.4258805801419823,2.277642566752957,0.04242,1.04759,1.22754,0.1760199999999999,-0.17995,0.1482380133890251,14.51384282502655,51.7,49.8,54.9,52.9,49.4,53.9,49.6,0,0.0,0,1,27.784891165172855,45.84507042253521,0.0,1.2077241715518068
7,p-p-3,92,2.441465277630833,2.3020198144101625,0.16457,1.00995,1.18212,0.16375,-0.1721700000000001,0.1394454632206705,6.2887485251019015,56.7,55.5,69.5,53.0,48.8,61.25,52.15,0,3.19,1,1,30.729833546734955,38.309859154929576,0.0,2.2553806210250165
8,p-p-4,101,2.416731051520008,2.269157892214863,0.06011,1.03053,1.19386,0.15541,-0.1633299999999999,0.1475731593051441,10.516887449948591,49.4,49.5,53.4,50.2,44.6,51.8,47.05,1,0.0,0,1,30.85787451984635,30.56338028169014,0.0,1.140080704557437
9,p-so-1,92,2.4557321043996225,2.072498080726011,0.3846,1.02659,-0.92891,0.16132,1.9555,0.3832340236736113,-2.063370599930785,47.7,37.2,39.7,51.3,62.5,45.5,49.85,1,3.05,1,0,17.41357234314981,26.338028169014084,1.0,1.4218796072195754
